Player,PlayerID,Year,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%, ,OWS,DWS,WS,WS/48, ,OBPM,DBPM,BPM,VORP
Quincy Acy,acyqu01,2014,SF,23,TOT,63,847,10.1,.520,.106,.376,9.5,19.5,14.4,4.9,1.4,2.5,15.4,10.1,,0.6,0.9,1.5,.086,,-2.5,0.8,-1.7,0.1
Quincy Acy,acyqu01,2014,SF,23,TOR,7,61,17.2,.542,.357,.571,9.5,19.2,14.3,10.1,3.4,3.9,10.2,14.5,,0.1,0.1,0.2,.188,,1.2,3.7,5.0,0.1
Quincy Acy,acyqu01,2014,SF,23,SAC,56,786,9.6,.518,.079,.354,9.5,19.5,14.4,4.4,1.2,2.4,16.0,9.8,,0.5,0.7,1.3,.078,,-2.8,0.6,-2.2,0.0
Steven Adams,adamsst01,2014,C,20,OKC,81,1197,11.2,.541,.000,.735,14.1,17.1,15.6,4.9,1.7,3.9,22.5,11.7,,0.9,1.9,2.9,.114,,-3.1,0.9,-2.2,-0.1
Jeff Adrien,adrieje01,2014,PF,27,TOT,53,961,17.4,.553,.000,.433,11.8,24.8,18.2,6.8,1.3,3.0,10.6,17.3,,1.6,1.1,2.7,.134,,0.0,-0.9,-0.9,0.3
Jeff Adrien,adrieje01,2014,PF,27,CHA,25,256,14.9,.559,.000,.625,14.5,24.4,19.4,4.1,1.4,4.6,13.6,10.6,,0.4,0.5,0.9,.170,,-1.8,1.7,0.0,0.1
Jeff Adrien,adrieje01,2014,PF,27,MIL,28,705,18.4,.552,.000,.400,10.9,25.0,17.7,7.7,1.3,2.4,10.1,19.7,,1.2,0.6,1.8,.121,,0.6,-1.8,-1.2,0.1
Arron Afflalo,afflaar01,2014,SG,28,ORL,73,2552,16.0,.574,.297,.332,1.4,10.2,5.8,16.9,0.7,0.1,11.2,23.3,,4.3,1.0,5.3,.099,,1.4,-1.6,-0.2,1.1
Alexis Ajinca,ajincal01,2014,C,25,NOP,56,951,14.6,.589,.004,.269,11.3,22.7,16.9,6.6,1.3,4.1,18.4,16.3,,1.2,0.9,2.1,.104,,-2.7,0.1,-2.6,-0.1
Cole Aldrich,aldrico01,2014,C,25,NYK,46,330,19.1,.620,.000,.492,12.8,33.8,23.0,6.4,1.3,8.1,19.5,13.0,,0.6,0.6,1.2,.178,,-0.1,1.6,1.5,0.3
LaMarcus Aldridge,aldrila01,2014,PF,28,POR,69,2498,21.8,.507,.011,.253,7.2,25.5,16.5,13.0,1.3,1.9,7.2,29.8,,4.0,3.5,7.5,.144,,2.3,0.1,2.3,2.7
Lavoy Allen,allenla01,2014,PF,24,TOT,65,1072,12.5,.470,.043,.167,11.7,20.0,15.7,10.1,1.1,2.4,12.0,14.6,,0.6,0.9,1.5,.066,,-2.6,-0.8,-3.5,-0.4
Lavoy Allen,allenla01,2014,PF,24,PHI,51,960,11.9,.464,.049,.150,11.5,20.0,15.6,10.2,1.1,2.2,12.4,14.3,,0.4,0.7,1.1,.053,,-2.9,-1.0,-3.8,-0.4
Lavoy Allen,allenla01,2014,PF,24,IND,14,112,17.5,.521,.000,.294,13.7,20.1,17.1,9.0,0.9,4.1,9.4,17.3,,0.2,0.2,0.4,.180,,-0.8,0.2,-0.5,0.0
Ray Allen,allenra02,2014,SG,38,MIA,73,1936,12.8,.590,.569,.214,1.6,11.4,6.7,11.1,1.5,0.4,12.4,16.8,,2.5,1.5,4.1,.101,,0.5,-0.9,-0.4,0.8
Tony Allen,allento01,2014,SG,32,MEM,55,1278,15.6,.531,.114,.293,7.3,12.0,9.6,11.7,3.8,1.2,16.2,20.1,,0.5,2.1,2.7,.100,,-1.1,2.1,1.0,1.0
Al-Farouq Aminu,aminual01,2014,SF,23,NOP,80,2045,13.2,.516,.097,.277,7.2,21.2,14.1,8.4,2.1,1.6,13.7,14.3,,1.3,1.8,3.1,.072,,-0.9,0.3,-0.6,0.7
Lou Amundson,amundlo01,2014,PF,31,TOT,19,185,9.1,.446,.000,.750,17.3,17.2,17.3,4.7,2.5,5.0,24.8,13.9,,-0.1,0.2,0.1,.024,,-6.6,0.1,-6.5,-0.2
Lou Amundson,amundlo01,2014,PF,31,NOP,18,184,9.2,.446,.000,.750,17.4,17.3,17.4,4.7,2.5,5.0,24.8,14.0,,-0.1,0.2,0.1,.024,,-6.7,0.1,-6.5,-0.2
Lou Amundson,amundlo01,2014,PF,31,CHI,1,1,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,.029,,-4.4,-3.9,-8.3,0.0
Chris Andersen,anderch01,2014,C,35,MIA,72,1396,18.5,.683,.044,.615,12.1,21.7,17.1,2.1,1.2,6.1,13.2,13.8,,3.8,2.2,6.0,.205,,0.6,0.7,1.2,1.1
Alan Anderson,anderal01,2014,SF,31,BRK,78,1773,9.5,.525,.511,.243,2.7,9.1,5.9,7.3,1.4,0.5,10.4,15.9,,0.8,0.9,1.7,.047,,-1.8,-1.0,-2.8,-0.4
James Anderson,anderja01,2014,SG,24,PHI,80,2309,10.9,.530,.490,.148,2.7,11.7,7.0,9.9,1.6,1.0,12.2,15.9,,0.9,0.9,1.9,.039,,-1.5,-1.0,-2.6,-0.3
Ryan Anderson,anderry01,2014,PF,25,NOP,22,795,18.8,.572,.463,.175,9.5,11.3,10.4,3.6,0.7,0.7,5.0,22.9,,2.2,0.1,2.3,.138,,4.5,-3.2,1.4,0.6
Giannis Antetokounmpo,antetgi01,2014,SF,19,MIL,77,1897,10.8,.518,.282,.483,4.6,16.3,10.2,12.1,1.7,2.6,19.4,15.0,,0.1,1.1,1.2,.031,,-2.4,-0.1,-2.5,-0.2
Carmelo Anthony,anthoca01,2014,PF,29,NYK,77,2982,24.4,.561,.253,.329,5.6,19.4,12.3,15.8,1.7,1.5,9.5,32.4,,8.1,2.5,10.7,.172,,5.8,-0.8,5.0,5.3
Joel Anthony,anthojo01,2014,C,31,TOT,33,186,8.1,.394,.000,.250,9.1,14.6,11.8,1.6,0.8,5.2,7.8,9.3,,0.0,0.2,0.2,.044,,-4.1,-0.7,-4.8,-0.1
Joel Anthony,anthojo01,2014,C,31,MIA,12,37,8.0,.436,.000,.333,7.1,16.4,11.9,0.0,0.0,9.4,12.7,10.2,,0.0,0.0,0.0,.049,,-4.6,0.0,-4.6,0.0
Joel Anthony,anthojo01,2014,C,31,BOS,21,149,8.1,.384,.000,.231,9.6,14.1,11.8,1.9,1.0,4.1,6.5,9.1,,0.0,0.1,0.1,.043,,-4.0,-0.9,-4.9,-0.1
Pero Antic,anticpe01,2014,C,31,ATL,50,925,11.7,.545,.582,.224,7.2,18.9,13.1,9.8,1.0,1.0,14.5,18.6,,0.5,0.9,1.4,.075,,-1.6,-0.7,-2.3,-0.1
Trevor Ariza,arizatr01,2014,SF,28,WAS,77,2723,15.8,.590,.518,.226,4.1,16.3,10.1,10.8,2.4,0.6,12.3,17.8,,4.3,3.7,8.0,.141,,1.3,1.0,2.3,3.0
Hilton Armstrong,armsthi01,2014,C,29,GSW,15,97,17.0,.480,.000,.842,21.8,31.0,26.5,7.1,2.1,3.1,18.7,14.5,,0.1,0.2,0.3,.162,,-0.7,0.5,-0.1,0.0
Darrell Arthur,arthuda01,2014,SF,25,DEN,68,1161,9.4,.459,.156,.151,4.8,14.7,9.8,8.0,1.6,3.0,11.7,18.1,,-0.5,1.2,0.7,.029,,-4.0,0.8,-3.2,-0.4
Omer Asik,asikom01,2014,C,27,HOU,48,968,14.0,.570,.000,.663,12.3,30.1,21.7,3.8,0.7,2.8,19.4,13.8,,1.0,1.5,2.4,.121,,-1.2,-0.3,-1.5,0.1
D.J. Augustin,augusdj01,2014,PG,26,TOT,71,1939,16.2,.569,.462,.316,0.9,6.7,3.8,28.9,1.5,0.1,13.3,22.4,,3.8,2.4,6.2,.154,,1.9,-0.4,1.4,1.7
